birthDateDay,birthDateMonth,birthDateYear,bodytype,cats,childrenHave,childrenWant,diet,dogs,drinking,drugs,educationModifier,educationValue,gender,heightCm,locationCountryCode,locationFormatted,monogamous,orientation,religionModifier,religionValue,sign,smoking,status,username,weed,lat,long
12,12,1989,average_build,,,,omnivore,has_dogs,socially,never,working_on,university,woman,164,tw,tai-chung-shih,,straight,,,sagittarius,no,single,lynnjang,,22.68359811016949,120.8103629557377
13,1,1989,average_build,,doesnt_have,,,,socially,never,,university,woman,161,tw,taipei,monogamous,straight,,,capricorn,no,single,lynxathena,,25.056279662176163,121.4309440413793
9,2,1979,average_build,,,might_want,omnivore,,socially,never,,post_grad,man,168,tw,taipei,monogamous,straight,but_its_not_important,buddhism,aquarius,no,single,lz229d,,25.111292581723237,121.58292971715285
2,9,1987,,,,,,,,never,,,man,0,tw,taipei,,straight,,,,,single,m4rktp,,25.117408044444442,121.56176379633699
15,10,1991,,,,,,,socially,never,,university,woman,162,tw,taipei,,straight,,,,no,single,m801015mag,,24.952728766340506,121.51885500181112
17,2,1992,fit,,,,,,not_at_all,never,,university,man,180,tw,taipei,,straight,,,,no,single,maaha02,,25.037620177415597,121.42767169795918
14,12,1974,thin,,doesnt_have,,,,socially,never,,post_grad,man,183,tw,kao-hsiung-ka,monogamous,straight,,,,no,single,mackallan,,22.526960606217617,120.26895849660679
15,3,1982,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,mackenzie_tai,,25.128923195959594,121.57325152613458
29,1,1986,fit,,doesnt_have,wants,,,socially,never,,university,man,174,tw,taipei,monogamous,straight,,christianity,aquarius,no,single,mactseng,,24.926521022969187,121.6174268
14,9,1975,,,,,,,,,,,woman,100,tw,tai-chung-shih,,straight,,,,,single,maddyc14,,22.681683852941177,120.67887346564417
15,4,1983,,,,,,,socially,never,,,man,0,tw,tai-chung-shih,,straight,,,,no,single,madeintaiwanmit,,22.605654938556935,120.5853176638814
24,4,1989,,,,,,,,never,,,woman,0,tw,hsin-chu,,straight,,,,,single,madhi24,,24.823999191525424,120.97138145
